id,source,title,company,primary_location,locations,remote,salary_status,salary_min,salary_max,salary_currency,salary_period,sap_focus,role_family,seniority,modules,skills,posted_at,url,description_excerpt
1fa75d36178315aa,arbeitnow,Customer Success Manager,ARC Intelligence GmbH,Germany,Germany,False,Not disclosed,,,,,SAP mentioned,Data / Analytics,Lead / Manager,Unspecified SAP,English; German,2026-07-21T10:00:32,https://www.arbeitnow.com/jobs/companies/arc-intelligence-gmbh/customer-success-manager-berlin-183182,"ARC Intelligence is building the AI-native Finance OS for modern mid-market corporations. We help finance teams manage planning, forecasting, reporting, consolidation, and performance management across complex corporate structures through a single intelligent platform. By combining financial data, operational workflows, and AI, we enable organizations to automate processes, increase transparency, and make faster, bet"
8bfbae71735cf213,arbeitnow,Produktionsplaner & Prozesskoordinator (m/w/d) ab 01.01.2027,ARICON Kunststoffwerk GmbH,Germany,Germany,False,Not disclosed,,,,,SAP mentioned,Other SAP-Related,Mid / Unspecified,Unspecified SAP,English,2026-07-24T06:29:03,https://www.arbeitnow.com/jobs/companies/aricon-kunststoffwerk-gmbh/produktionsplaner-prozesskoordinator-solingen-306130,"Dein neuer Job bei ARICON - für alle, die Produktionsabläufe lieben! Du suchst einen sicheren Job mit Verantwortung, abwechslungsreichen Aufgaben und echten Entwicklungsmöglichkeiten? Dann bist du bei ARICON genau richtig! Wir sind ein innovatives, familiengeführtes Kunststoffwerk und produzieren hochwertige Industriebehälter für verschiedenste Anwendungen. Für unseren Standort suchen wir Verstärkung im Bereich Produ"
92ff7593e5b38185,arbeitnow,Senior ERP Consultant weclapp (m/w/d),BOLD & EPIC GmbH,Germany,Germany,False,Not disclosed,,,,,SAP mentioned,Functional Consulting,Senior,Unspecified SAP,,2026-07-23T09:01:08,https://www.arbeitnow.com/jobs/companies/bold-epic-gmbh/senior-erp-consultant-weclapp-stuttgart-291566,"Beschreibung Führender weclapp-Partner in Deutschland: Kleine und mittelständische Unternehmen kommen zu uns, wenn sie ihr ERP nicht nur einführen, sondern ihre Abläufe neu denken wollen. Vom ersten Angebot über Lager und Fakturierung bis zur Finanzbuchhaltung begleiten wir Veränderungen ganzheitlich. Unsere Projekte sind anders geschnitten als klassische ERP-Beratung: keine Zweijahresprogramme mit Verantwortung für "
72e3bc97d5529203,arbeitnow,Finance Manager (m/w/d),Biomatch GmbH,Murg,Murg,False,Not disclosed,,,,,SAP mentioned,Other SAP-Related,Lead / Manager,Unspecified SAP,English; German,2026-07-21T15:30:26,https://www.arbeitnow.com/jobs/companies/biomatch-gmbh/finance-manager-murg-93683,"Über das Unternehmen Unser Mandant ist ein weltweit agierender Pionier für hocheffiziente Systemlösungen in der Food-Technologie. Mit mehreren tausend Mitarbeitern global verbindet das Unternehmen die Stabilität eines Großkonzerns mit einer innovativen, zukunftsorientierten Unternehmenskultur. Werden Sie Teil eines Teams, das die Prozesslandschaft für die Top-Player der internationalen LFGB-Branche gestaltet. Aufgabe"
c23dc3868609c7f6,arbeitnow,Senior ERP Consultant weclapp (m/w/d),Bold Epic Gmbh,Germany,Germany,False,Not disclosed,,,,,SAP mentioned,Functional Consulting,Senior,Unspecified SAP,English,2026-07-23T20:09:06,https://www.arbeitnow.com/jobs/companies/bold-epic-gmbh/senior-erp-consultant-weclapp-stuttgart-133204,"Beschreibung Führender weclapp-Partner in Deutschland: Kleine und mittelständische Unternehmen kommen zu uns, wenn sie ihr ERP nicht nur einführen, sondern ihre Abläufe neu denken wollen. Vom ersten Angebot über Lager und Fakturierung bis zur Finanzbuchhaltung begleiten wir Veränderungen ganzheitlich. Unsere Projekte sind anders geschnitten als klassische ERP-Beratung: keine Zweijahresprogramme mit Verantwortung für "
6ed8bf9263baac76,arbeitnow,Teamleiter Backoffice (m/w/d),CURRENTA GRUPPE,Leverkusen,Leverkusen; Nordrhein-Westfalen; Deutschland,False,Not disclosed,,,,,SAP mentioned,Support / Operations,Mid / Unspecified,Unspecified SAP,German,2026-07-24T20:30:15,https://www.arbeitnow.com/jobs/companies/currenta-gruppe/teamleiter-backoffice-leverkusen-69345,"Lern uns kennen Die Chemion Logistik GmbH ist ein Logistikdienstleister, der auf die Bedürfnisse der Chemie und chemienahen Geschäftszweige spezialisiert ist. Wir beschäftigen an den drei CHEMPARK-Standorten (Leverkusen, Dormagen und Krefeld-Uerdingen) insgesamt ca. 900 Mitarbeiter*innen in den Bereichen Transport, Lagerung, Umschlag, Expedition, Equipment und Schulung. #Traumjob, #TeamChemion, #neueChancen Unterstüt"
4280356328f616e1,arbeitnow,Senior SAP Business One Berater (m/w/d): Cloud-Migration & Zukunftsarchitektur,Cloudiax AG,Germany,Germany,True,Not disclosed,,,,,SAP-titled role,Data / Analytics,Senior,HANA / Data,SAP HANA; English; German,2026-07-24T14:29:02,https://www.arbeitnow.com/jobs/companies/cloudiax-ag/senior-sap-business-one-berater-cloud-migration-zukunftsarchitektur-gudow-121097,"Die Cloudiax AG ist ein innovatives Technologieunternehmen mit Fokus auf cloudbasierte Lösungen und digitale Transformation. Seit über 10 Jahren unterstützt das Unternehmen Organisationen dabei, ihre IT-Infrastruktur zu modernisieren und digitale Geschäftsmodelle erfolgreich umzusetzen. Mit einem internationalen Team und höchsten Standards in Sicherheit, Verfügbarkeit und Performance steht Cloudiax für zukunftsfähige"
d08980d7a815c48e,arbeitnow,Working Student Marketing & Sales (m/w/d),Envalior,Dormagen,Dormagen; Germany,False,Not disclosed,,,,,SAP mentioned,Support / Operations,Mid / Unspecified,Unspecified SAP,English; German,2026-07-22T11:21:06,https://www.arbeitnow.com/jobs/companies/envalior/working-student-marketing-sales-dormagen-374303,"Join Envalior – Imagine The Future! Bist Du leidenschaftlich daran interessiert, datenbasierte Prozesse voranzutreiben und Pricing‑Analysen strategisch sowie operativ zu unterstützen, in einem sich ständig wandelnden Umfeld? Bei Envalior suchen wir einen engagierten Working Student Marketing & Sales (m/w/d) zur Verstärkung unseres dynamischen Commercial Operations, Reporting & Pricing‑Teams und zur Sicherstellung hoc"
b9cb33d5c47a15f0,arbeitnow,Senior Accountant (m/w/d),FASTR,Germany,Germany,False,Not disclosed,,,,,SAP mentioned,Technical / Development,Senior,Unspecified SAP,,2026-07-21T09:59:03,https://www.arbeitnow.com/jobs/companies/fastr/senior-accountant-dusseldorf-171576,"FASTR gehört zu den führenden Energiedienstleistern und Stromversorgern in Deutschland. Das Unternehmen wurde 1989 in Aachen gegründet und hat heute seinen Hauptsitz in Düsseldorf sowie Niederlassungen in Dresden, Hamburg Berlin, Mittenwald und München. Aus einem ursprünglich familiengeführten Unternehmen ist ein dynamischer Energiepartner geworden, der sich im Mai 2025 durch die Partnerschaft mit KKR auf einen klare"
e01e761e15890a53,arbeitnow,Associate SAP Software Engineer (m/f/x),FINN,Remote,Remote,True,Not disclosed,,,,,Core SAP delivery role,Technical / Development,Junior,S/4HANA; ABAP / Development; BTP / Integration,ABAP; S/4HANA; SAP BTP; OData; RAP / CAP; English; German,2026-07-23T05:05:24,https://www.arbeitnow.com/jobs/companies/finn/associate-sap-software-engineer-europe-410676,"Your Role As Associate SAP Software Engineer, you are part of the ERP Product team, which develops Products in close collaboration with our Finance & Legal Department. In a highly integrated and automated system landscape, you design and implement solutions in S/4HANA that are scalable and seamlessly integrated with the rest of our tech stack. Your Mission Build in S/4HANA: Develop, extend and maintain ABAP solutions"
